add_neuron_frac,analysis_level,n_add,n_add_sem,N0,N0_sem,N1,N1_sem,mean_out_degree_new,mean_out_degree_new_sem,mean_rate_hz,mean_rate_hz_sem,actual_p_ext,actual_p_ext_sem,actual_slope,actual_slope_sem,actual_e_w,actual_e_w_sem,actual_i_w,actual_i_w_sem,actual_theta,actual_theta_sem,T_RUN,T_RUN_sem,MV_slope,MV_slope_sem,TAU_slope,TAU_slope_sem,KURT_slope,KURT_slope_sem,global_avalanche_tau,global_avalanche_tau_sem,global_branching_proxy,global_branching_proxy_sem,global_n_avalanches,global_n_avalanches_sem,global_avalanche_threshold,global_avalanche_threshold_sem,global_frac_silent_bins,global_frac_silent_bins_sem,local_log_tau_std,local_log_tau_std_sem,local_av_tau_std,local_av_tau_std_sem,local_branch_std,local_branch_std_sem,local_mean_frac_silent_bins,local_mean_frac_silent_bins_sem,local_quantile_fallback_frac,local_quantile_fallback_frac_sem,rare_enrichment,rare_enrichment_sem,long_avalanche_activity_in_rare_fraction,long_avalanche_activity_in_rare_fraction_sem,long_avalanche_module_gini_mean,long_avalanche_module_gini_mean_sem,long_avalanche_top_module_fraction_mean,long_avalanche_top_module_fraction_mean_sem,global_change_score,global_change_score_sem,local_heterogeneity_change_score,local_heterogeneity_change_score_sem
0.0,3,0.0,0.0,2000.0,0.0,2000.0,0.0,0.8825,0.006048415770541344,3.7679400000000007,0.0245605203188641,0.015,0.0,2.25,0.0,21.4115,0.0,21.675,0.0,7.5,0.0,100.0,0.0,1.2750977704927042,0.00530167114449085,0.03333816343550318,0.012720424372159408,-0.5389372074405777,0.01265837186747167,1.9859008884023117,0.016462598646224767,0.9910689322692329,0.00021740353625910043,1710.3333333333333,29.86822912579705,75.0,0.5773502691896258,0.0,0.0,0.15454867177231893,0.005203443225433494,0.4449351986064763,0.006842996455585462,0.09598196204774906,0.0021124888482384504,0.5479893333333333,0.0010318343364018295,0.0026666666666666666,0.002666666666666667,0.9814686495858953,0.01591605335212296,0.10207273955693309,0.001655269548620786,0.26512919861879464,0.008339165385621567,0.023710001996647998,0.0038643828496319815,0.0,0.0,0.0,0.0
0.1,3,200.0,0.0,2000.0,0.0,2200.0,0.0,0.9509090909090908,0.02456368570975016,4.118428787878788,0.24056409913847657,0.015,0.0,2.25,0.0,21.4115,0.0,21.675,0.0,7.5,0.0,100.0,0.0,1.3045052809038005,0.012297214202678274,0.06065335173553543,0.018985741966365058,-0.48561868777441486,0.023998125900760982,1.9828531019671243,0.011142289874341864,0.9931361782998197,0.0006039504780878592,1679.0,25.146238950056393,90.33333333333333,5.333333333333334,0.0,0.0,0.16099898718233288,0.00586139165665035,0.47113776965148224,0.031559575649402656,0.09803711603839117,0.0034942376954606503,0.5138450666666666,0.01953452548261947,0.0,0.0,1.0721444489413579,0.054447644361725285,0.1115030226899012,0.005662555013619425,0.25854324207786433,0.008851769505414792,0.02062454579450847,0.0008759170367098461,0.02114663654743985,0.009197188812696488,0.025267707662889587,0.0009974804717914779
0.3,3,600.0,0.0,2000.0,0.0,2600.0,0.0,1.1502564102564101,0.007693375994193598,5.446430769230769,0.240208301627174,0.015,0.0,2.25,0.0,21.4115,0.0,21.675,0.0,7.5,0.0,100.0,0.0,1.3560688015090652,0.004254885943921481,0.03221425944121245,0.009627262656325661,-0.46568342256051043,0.026244915181303542,1.9831470994626208,0.025728786412019297,0.9953815331630017,0.00020234281807202155,1642.0,38.88873015840622,141.66666666666666,6.333333333333333,0.0,0.0,0.14097230616872677,0.004191364341294331,0.2901517645834626,0.008362047811544088,0.09414657054948361,0.005956125907675264,0.41084053333333337,0.014134349477936545,0.0,0.0,0.9211143707743856,0.0382961078165344,0.09579589456053611,0.003982795212919577,0.21956323175819914,0.007141790025607448,0.017851525977766104,0.0009971904680474012,0.04054671307996562,0.0059748751618497915,0.05900044325851039,0.006094251824914135
0.0,4,0.0,0.0,2000.0,0.0,2000.0,0.0,0.8825,0.006048415770541344,3.7679400000000007,0.0245605203188641,0.015,0.0,2.25,0.0,21.4115,0.0,21.675,0.0,7.5,0.0,100.0,0.0,1.2750977704927042,0.00530167114449085,0.03333816343550318,0.012720424372159408,-0.5389372074405777,0.01265837186747167,1.9859008884023117,0.016462598646224767,0.9910689322692329,0.00021740353625910043,1710.3333333333333,29.86822912579705,75.0,0.5773502691896258,0.0,0.0,0.15219095594540913,0.011607425062694776,0.17541121471259327,0.0036754543529724307,0.07214547507147658,0.003967750595829004,0.306891935483871,0.00088519640044482,0.0,0.0,0.9839878597713678,0.01823723572453092,0.11109540352257379,0.0020590427430921972,0.19941174471171716,0.005340733300270759,0.033717605430987306,0.001752642748463541,0.0,0.0,0.0,0.0
0.1,4,200.0,0.0,2000.0,0.0,2200.0,0.0,0.9509090909090908,0.02456368570975016,4.118428787878788,0.24056409913847657,0.015,0.0,2.25,0.0,21.4115,0.0,21.675,0.0,7.5,0.0,100.0,0.0,1.3045052809038005,0.012297214202678274,0.06065335173553543,0.018985741966365058,-0.48561868777441486,0.023998125900760982,1.9828531019671243,0.011142289874341864,0.9931361782998197,0.0006039504780878592,1679.0,25.146238950056393,90.33333333333333,5.333333333333334,0.0,0.0,0.14547587485127356,0.0170104453176655,0.14964618106771396,0.014441028949942508,0.07712987482761434,0.0053125040519951105,0.26958279569892474,0.020172289136048037,0.005376344086021505,0.005376344086021505,1.0759200653541072,0.06927305807925267,0.12147484608836694,0.007821151718625302,0.19932187545821992,0.007854151205438892,0.033857928263162806,0.0015624406576044668,0.02114663654743985,0.009197188812696488,0.02515722060538417,0.002717605504021006
0.3,4,600.0,0.0,2000.0,0.0,2600.0,0.0,1.1502564102564101,0.007693375994193598,5.446430769230769,0.240208301627174,0.015,0.0,2.25,0.0,21.4115,0.0,21.675,0.0,7.5,0.0,100.0,0.0,1.3560688015090652,0.004254885943921481,0.03221425944121245,0.009627262656325661,-0.46568342256051043,0.026244915181303542,1.9831470994626208,0.025728786412019297,0.9953815331630017,0.00020234281807202155,1642.0,38.88873015840622,141.66666666666666,6.333333333333333,0.0,0.0,0.13964847782269393,0.00374062908276205,0.1678144317270526,0.04584267657119431,0.06366850951591592,0.004820392579697028,0.17498870967741934,0.010150104954784057,0.01075268817204301,0.01075268817204301,0.9648614550333784,0.04540648180720415,0.10893597072957499,0.0051265382685553055,0.16180779670209047,0.006637882224150098,0.03019070636791406,0.002319643446933247,0.04054671307996562,0.0059748751618497915,0.033341946986493086,0.004547807398438333
0.0,5,0.0,0.0,2000.0,0.0,2000.0,0.0,0.8825,0.006048415770541344,3.7679400000000007,0.0245605203188641,0.015,0.0,2.25,0.0,21.4115,0.0,21.675,0.0,7.5,0.0,100.0,0.0,1.2750977704927042,0.00530167114449085,0.03333816343550318,0.012720424372159408,-0.5389372074405777,0.01265837186747167,1.9859008884023117,0.016462598646224767,0.9910689322692329,0.00021740353625910043,1710.3333333333333,29.86822912579705,75.0,0.5773502691896258,0.0,0.0,0.13067876713569826,0.008835503382159007,0.11488352483943855,0.006421943494134805,0.048817101838207415,0.005211925555932052,0.1012010752688172,0.0010299408355040026,0.01075268817204301,0.01075268817204301,0.9504690366762366,0.059083569678650194,0.12264116602274021,0.00762368641014841,0.1577607320072646,0.0066659445107836455,0.058839301704083524,0.003713546609428476,0.0,0.0,0.0,0.0
0.1,5,200.0,0.0,2000.0,0.0,2200.0,0.0,0.9509090909090908,0.02456368570975016,4.118428787878788,0.24056409913847657,0.015,0.0,2.25,0.0,21.4115,0.0,21.675,0.0,7.5,0.0,100.0,0.0,1.3045052809038005,0.012297214202678274,0.06065335173553543,0.018985741966365058,-0.48561868777441486,0.023998125900760982,1.9828531019671243,0.011142289874341864,0.9931361782998197,0.0006039504780878592,1679.0,25.146238950056393,90.33333333333333,5.333333333333334,0.0,0.0,0.1537402068942462,0.010476051124902264,0.18128508375947602,0.05696626082526186,0.05150572414726973,0.0036320347960022816,0.07930430107526881,0.011474876466346363,0.053763440860215055,0.028448938828651512,1.0169909503002883,0.0587723891983292,0.13122463874842427,0.0075835340901069925,0.1581182744268649,0.006932220289608002,0.0595346031167071,0.00395697276674351,0.02114663654743985,0.009197188812696488,0.047334917773233044,0.013538799051005983
0.3,5,600.0,0.0,2000.0,0.0,2600.0,0.0,1.1502564102564101,0.007693375994193598,5.446430769230769,0.240208301627174,0.015,0.0,2.25,0.0,21.4115,0.0,21.675,0.0,7.5,0.0,100.0,0.0,1.3560688015090652,0.004254885943921481,0.03221425944121245,0.009627262656325661,-0.46568342256051043,0.026244915181303542,1.9831470994626208,0.025728786412019297,0.9953815331630017,0.00020234281807202155,1642.0,38.88873015840622,141.66666666666666,6.333333333333333,0.0,0.0,0.14921022694002345,0.010992068361120112,0.2729175454966141,0.13033608067533348,0.032878359089004196,0.003534450212054741,0.0325763440860215,0.0035305953435888285,0.06451612903225806,0.03724840446384683,0.943272617859464,0.024393019019846224,0.12171259585283406,0.0031474863251414473,0.12283493805587142,0.005218488909200781,0.05384027411851544,0.004350889921478213,0.04054671307996562,0.0059748751618497915,0.07542558463028626,0.03597444573257473
0.0,6,0.0,0.0,2000.0,0.0,2000.0,0.0,0.8825,0.006048415770541344,3.7679400000000007,0.0245605203188641,0.015,0.0,2.25,0.0,21.4115,0.0,21.675,0.0,7.5,0.0,100.0,0.0,1.2750977704927042,0.00530167114449085,0.03333816343550318,0.012720424372159408,-0.5389372074405777,0.01265837186747167,1.9859008884023117,0.016462598646224767,0.9910689322692329,0.00021740353625910043,1710.3333333333333,29.86822912579705,75.0,0.5773502691896258,0.0,0.0,0.11287678444053355,0.017419740413555297,0.43820928916288476,0.02111287449691679,0.023297400412173066,0.0007408158912656181,0.012315555555555557,0.0004015217965271879,0.35555555555555557,0.02222222222222224,1.037340649288017,0.08557616965626869,0.1383120865717356,0.011410155954169157,0.1180319689852658,0.0030565149669491342,0.09978106499523769,0.0030886834826998745,0.0,0.0,0.0,0.0
0.1,6,200.0,0.0,2000.0,0.0,2200.0,0.0,0.9509090909090908,0.02456368570975016,4.118428787878788,0.24056409913847657,0.015,0.0,2.25,0.0,21.4115,0.0,21.675,0.0,7.5,0.0,100.0,0.0,1.3045052809038005,0.012297214202678274,0.06065335173553543,0.018985741966365058,-0.48561868777441486,0.023998125900760982,1.9828531019671243,0.011142289874341864,0.9931361782998197,0.0006039504780878592,1679.0,25.146238950056393,90.33333333333333,5.333333333333334,0.0,0.0,0.16451621461792265,0.00978841768519639,0.4136007538320805,0.0273804998407806,0.02673188135914234,0.003312959581865264,0.0074644444444444446,0.0016602201252236197,0.7111111111111111,0.13517250067329378,1.055327912902994,0.09609244006143165,0.14071038838706587,0.012812325341524225,0.12025759000737912,0.012383375688797663,0.10361599745414835,0.007884125420575374,0.02114663654743985,0.009197188812696488,0.03681837564130988,0.006312865215550291
0.3,6,600.0,0.0,2000.0,0.0,2600.0,0.0,1.1502564102564101,0.007693375994193598,5.446430769230769,0.240208301627174,0.015,0.0,2.25,0.0,21.4115,0.0,21.675,0.0,7.5,0.0,100.0,0.0,1.3560688015090652,0.004254885943921481,0.03221425944121245,0.009627262656325661,-0.46568342256051043,0.026244915181303542,1.9831470994626208,0.025728786412019297,0.9953815331630017,0.00020234281807202155,1642.0,38.88873015840622,141.66666666666666,6.333333333333333,0.0,0.0,0.1330244578036224,0.012823552295437184,0.2655903272176922,0.006474482954035501,0.014806681691963199,0.003545219712680872,0.0014222222222222223,0.00033487052961545937,1.0,0.0,0.9917279966553557,0.0265701658225746,0.13223039955404745,0.00354268877634328,0.09113604365621684,0.008637301056994274,0.08828846668246078,0.0024624765828800566,0.04054671307996562,0.0059748751618497915,0.06708578467616376,0.007499895045898989
0.0,7,0.0,0.0,2000.0,0.0,2000.0,0.0,0.8825,0.006048415770541344,3.7679400000000007,0.0245605203188641,0.015,0.0,2.25,0.0,21.4115,0.0,21.675,0.0,7.5,0.0,100.0,0.0,1.2750977704927042,0.00530167114449085,0.03333816343550318,0.012720424372159408,-0.5389372074405777,0.01265837186747167,1.9859008884023117,0.016462598646224767,0.9910689322692329,0.00021740353625910043,1710.3333333333333,29.86822912579705,75.0,0.5773502691896258,0.0,0.0,0.10806956863512289,0.022167721637826824,0.20626656032615032,0.028781479975455205,0.011557668802128685,0.0010009908359063257,0.0002142857142857143,2.1821789023599244e-05,1.0,0.0,0.9925620173923027,0.06356210360920354,0.1417945739131861,0.009080300515600503,0.08911316234249371,0.00498646154151646,0.1843110809132733,0.005634492059400818,0.0,0.0,0.0,0.0
0.1,7,200.0,0.0,2000.0,0.0,2200.0,0.0,0.9509090909090908,0.02456368570975016,4.118428787878788,0.24056409913847657,0.015,0.0,2.25,0.0,21.4115,0.0,21.675,0.0,7.5,0.0,100.0,0.0,1.3045052809038005,0.012297214202678274,0.06065335173553543,0.018985741966365058,-0.48561868777441486,0.023998125900760982,1.9828531019671243,0.011142289874341864,0.9931361782998197,0.0006039504780878592,1679.0,25.146238950056393,90.33333333333333,5.333333333333334,0.0,0.0,0.13692558301619098,0.005528436616720908,0.18911294564046574,0.04618578529840075,0.013591722020591035,0.00046321560336911997,9.523809523809524e-05,3.4338583575847526e-05,1.0,0.0,1.2531553258285557,0.08322918635890938,0.1790221894040794,0.011889883765558478,0.08792121320985417,0.0037545994664438132,0.18688168409736472,0.005582210416706559,0.02114663654743985,0.009197188812696488,0.04240632414726373,0.0060339882251511465
0.3,7,600.0,0.0,2000.0,0.0,2600.0,0.0,1.1502564102564101,0.007693375994193598,5.446430769230769,0.240208301627174,0.015,0.0,2.25,0.0,21.4115,0.0,21.675,0.0,7.5,0.0,100.0,0.0,1.3560688015090652,0.004254885943921481,0.03221425944121245,0.009627262656325661,-0.46568342256051043,0.026244915181303542,1.9831470994626208,0.025728786412019297,0.9953815331630017,0.00020234281807202155,1642.0,38.88873015840622,141.66666666666666,6.333333333333333,0.0,0.0,0.0891170097497575,0.00980505124697836,0.1246114962726763,0.043803567625315,0.008997714856181484,0.0018153298716181074,4.761904761904762e-06,4.761904761904762e-06,1.0,0.0,0.9486331656391448,0.03976415976811111,0.13551902366273497,0.005680594252587297,0.06690694054510894,0.008781823255283499,0.17004292183329442,0.003219343083042002,0.04054671307996562,0.0059748751618497915,0.04516275619922804,0.01683525885426907
