gen,mean_cluster_size,n_clusters,mean_variance,timescale,kurtosis_corr,mean_variance_norm,timescale_norm,gain,seed,p_ext,regime
0,1.0,2000,0.2106146365404129,0.0502085919477655,2.8830466480839054,0.999999999995252,0.9999999999800832,0.4,0,0.015,high_drive_icg
1,2.0,1000,0.6364057064056396,0.05764109304045428,2.796658751474571,3.0216594480626418,1.1480324542714353,0.4,0,0.015,high_drive_icg
2,4.0,500,1.882172703742981,0.0660624550064147,2.723303488516875,8.936571240493494,1.3157599614390103,0.4,0,0.015,high_drive_icg
3,8.0,250,5.542824745178223,0.07695894198359837,2.642940697670584,26.31737677969187,1.5327843103453251,0.4,0,0.015,high_drive_icg
4,16.0,125,16.251611709594727,0.08298930449223091,2.5851183410416625,77.16278401382229,1.6528904968479483,0.4,0,0.015,high_drive_icg
5,31.746031746031747,63,47.47755432128906,0.08667742497835729,2.5690497299503448,225.4238124231865,1.726346460119929,0.4,0,0.015,high_drive_icg
6,62.5,32,135.97279357910156,0.11633855688158401,2.6043227731885543,645.599925114252,2.317104550557795,0.4,0,0.015,high_drive_icg
7,125.0,16,387.86395263671875,0.1622373725525981,2.1631819824575547,1841.5811883066992,3.2312671249205804,0.4,0,0.015,high_drive_icg
0,1.0,2000,0.2132350206375122,0.05314489778867365,2.8853508517721314,0.9999999999953103,0.9999999999811835,0.4,1,0.015,high_drive_icg
1,2.0,1000,0.6411380767822266,0.06039146427976781,2.820884205846041,3.006720354200726,1.1363548861976025,0.4,1,0.015,high_drive_icg
2,4.0,500,1.9010601043701172,0.07132055223406777,2.7378651726287595,8.915327785640331,1.3420018703644163,0.4,1,0.015,high_drive_icg
3,8.0,250,5.604394912719727,0.08289875989510267,2.659661670003116,26.282713298865698,1.5598630036543295,0.4,1,0.015,high_drive_icg
4,16.0,125,16.516326904296875,0.10335178861255112,2.5687564249573027,77.45597723507278,1.9447170454928027,0.4,1,0.015,high_drive_icg
5,31.746031746031747,63,48.127445220947266,0.10432547387790708,2.485797527715357,225.70141188269244,1.963038376530251,0.4,1,0.015,high_drive_icg
6,62.5,32,139.141845703125,0.11796236997473425,2.473545140951815,652.5281132830706,2.2196367832257833,0.4,1,0.015,high_drive_icg
7,125.0,16,399.1310729980469,0.14537584284052818,2.40248592464226,1871.7895015691438,2.735461895436659,0.4,1,0.015,high_drive_icg
0,1.0,2000,0.234977588057518,0.052546179370388885,3.1015980209230323,0.9999999999957443,0.9999999999809691,0.6,0,0.015,high_drive_icg
1,2.0,1000,0.7521324753761292,0.061622532307175445,3.0092956171901672,3.200868991764528,1.1727309776727286,0.6,0,0.015,high_drive_icg
2,4.0,500,2.347111225128174,0.07000633372972315,2.8929682683719613,9.988659959109196,1.3322820910522988,0.6,0,0.015,high_drive_icg
3,8.0,250,7.180922985076904,0.07990754112468576,2.7567963637527098,30.56003359472986,1.5207107744201664,0.6,0,0.015,high_drive_icg
4,16.0,125,21.29360580444336,0.0905869406868598,2.6331148129653092,90.61973093000033,1.723949139034529,0.6,0,0.015,high_drive_icg
5,31.746031746031747,63,62.60079574584961,0.10646131289384672,2.4865926371377465,266.411772557048,2.0260524012867496,0.6,0,0.015,high_drive_icg
6,62.5,32,178.84353637695312,0.12551545743686587,2.5432491116655416,761.1089119376549,2.388669527231287,0.6,0,0.015,high_drive_icg
7,125.0,16,499.1358642578125,0.19168516593192733,2.402702827819182,2124.184984542055,3.6479372663257585,0.6,0,0.015,high_drive_icg
0,1.0,2000,0.2382466197013855,0.04984387647598365,3.115015590480562,0.9999999999958027,0.9999999999799374,0.6,1,0.015,high_drive_icg
1,2.0,1000,0.7623381018638611,0.055985709068992556,3.015350721786343,3.1997855953472234,1.1232214070437523,0.6,1,0.015,high_drive_icg
2,4.0,500,2.390812397003174,0.06085105313431645,2.9032623941665987,10.035031766619584,1.2208330779090901,0.6,1,0.015,high_drive_icg
3,8.0,250,7.335077285766602,0.06982299136018606,2.7761759262054784,30.787749664316255,1.4008338896439596,0.6,1,0.015,high_drive_icg
4,16.0,125,22.18175506591797,0.07169586559669439,2.645300084127353,93.10417538610672,1.4384087006114243,0.6,1,0.015,high_drive_icg
5,31.746031746031747,63,65.02919006347656,0.08063450006371722,2.5584897355611407,272.94905650586,1.6177413508548382,0.6,1,0.015,high_drive_icg
6,62.5,32,182.99847412109375,0.09625574266787526,2.4822795242729527,768.1052278923958,1.9311447959374342,0.6,1,0.015,high_drive_icg
7,125.0,16,525.891845703125,0.0994640153518121,2.6819904578798273,2207.3423176373376,1.9955112319111352,0.6,1,0.015,high_drive_icg
0,1.0,2000,0.23468850553035736,0.054380170927224206,3.1226697113189834,0.999999999995739,0.9999999999816109,0.8,0,0.015,high_drive_icg
1,2.0,1000,0.752810537815094,0.06383745668792465,3.0274397874122823,3.207700931541826,1.1739105559668617,0.8,0,0.015,high_drive_icg
2,4.0,500,2.3563320636749268,0.07393722980217853,2.908407121705804,10.040253391788251,1.3596358477756068,0.8,0,0.015,high_drive_icg
3,8.0,250,7.258354663848877,0.08187484958576043,2.787922841228454,30.927610397515053,1.5056011812435484,0.8,0,0.015,high_drive_icg
4,16.0,125,21.640668869018555,0.09888551906234694,2.6238845631449914,92.21017799752057,1.818411332190641,0.8,0,0.015,high_drive_icg
5,31.746031746031747,63,63.1032829284668,0.11693437016567632,2.60759302993914,268.88101224043714,2.15031266304802,0.8,0,0.015,high_drive_icg
6,62.5,32,179.49105834960938,0.1340604721818877,2.4729053893276314,764.8054937468042,2.4652455094124783,0.8,0,0.015,high_drive_icg
7,125.0,16,518.8025512695312,0.16753377999437227,2.5667998232619555,2210.6006005488525,3.0807880360563464,0.8,0,0.015,high_drive_icg
0,1.0,2000,0.23812289535999298,0.04992001888288847,3.128597880746066,0.9999999999958005,0.999999999979968,0.8,1,0.015,high_drive_icg
1,2.0,1000,0.7643444538116455,0.05577845221735217,3.023832672624721,3.2098738454061864,1.1173563925744927,0.8,1,0.015,high_drive_icg
2,4.0,500,2.394835948944092,0.06063842905280953,2.9163355086649343,10.057142742672996,1.2147116609441106,0.8,1,0.015,high_drive_icg
3,8.0,250,7.392623424530029,0.06954242119605945,2.785657847117201,31.045412131928153,1.3930768207001631,0.8,1,0.015,high_drive_icg
4,16.0,125,22.215965270996094,0.08160315839253902,2.657375155515505,93.29621680148317,1.6346780353257477,0.8,1,0.015,high_drive_icg
5,31.746031746031747,63,64.94639587402344,0.08442759126919175,2.609342782477102,272.7431806822484,1.6912571981506301,0.8,1,0.015,high_drive_icg
6,62.5,32,184.3427276611328,0.09476728075083155,2.6092645286504252,774.1495305676939,1.8983823097354116,0.8,1,0.015,high_drive_icg
7,125.0,16,513.688232421875,0.1015756932032918,2.7126926284474626,2157.239990061126,2.034768725539786,0.8,1,0.015,high_drive_icg
0,1.0,2000,0.23471114039421082,0.054313840201597824,3.1235454029219327,0.9999999999957394,0.9999999999815885,1.0,0,0.015,high_drive_icg
1,2.0,1000,0.7529382109642029,0.06375524611624736,3.027784106878094,3.2079355487617334,1.1738305720684055,1.0,0,0.015,high_drive_icg
2,4.0,500,2.3574018478393555,0.07364896949537059,2.9095488165781247,10.043843014310783,1.3559889932409523,1.0,0,0.015,high_drive_icg
3,8.0,250,7.266120910644531,0.08022368192042356,2.76781140478682,30.95771635896663,1.477039399555962,1.0,0,0.015,high_drive_icg
4,16.0,125,21.641239166259766,0.09589481055554266,2.6276108783022845,92.20371529796097,1.7655685953680003,1.0,0,0.015,high_drive_icg
5,31.746031746031747,63,63.164730072021484,0.11435004804439856,2.5749764747689214,269.11688114021166,2.105357448817055,1.0,0,0.015,high_drive_icg
6,62.5,32,181.2738037109375,0.14367216699371954,2.4695273437017335,772.3272248846196,2.645222036552807,1.0,0,0.015,high_drive_icg
7,125.0,16,524.69873046875,0.1763021787480109,2.203839019987643,2235.5084193500697,3.2459899371942846,1.0,0,0.015,high_drive_icg
0,1.0,2000,0.23813772201538086,0.04990864201165987,3.1287538934587444,0.9999999999958007,0.9999999999799634,1.0,1,0.015,high_drive_icg
1,2.0,1000,0.7644037008285522,0.05576174013735857,3.023973977497224,3.2099227890320163,1.1172762449279625,1.0,1,0.015,high_drive_icg
2,4.0,500,2.395047426223755,0.06059395849683183,2.9167747124117045,10.057404622603242,1.214097520053972,1.0,1,0.015,high_drive_icg
3,8.0,250,7.393990993499756,0.06949441450579812,2.7857752057127043,31.049221983366174,1.3924324867058115,1.0,1,0.015,high_drive_icg
4,16.0,125,22.22106170654297,0.08157793943470798,2.6569394904220536,93.31180931097695,1.6345453641879266,1.0,1,0.015,high_drive_icg
5,31.746031746031747,63,64.96096801757812,0.0843955714702943,2.6091030588855535,272.7873915460971,1.6910011586547766,1.0,1,0.015,high_drive_icg
6,62.5,32,184.35086059570312,0.0946171732450265,2.6093158838132133,774.1354835964296,1.8958074078839056,1.0,1,0.015,high_drive_icg
7,125.0,16,513.619384765625,0.10150378433057478,2.711543088637587,2156.816569910308,2.0337917490287,1.0,1,0.015,high_drive_icg
0,1.0,2000,0.23471114039421082,0.054313840201597824,3.1235454029219327,0.9999999999957394,0.9999999999815885,1.2,0,0.015,high_drive_icg
1,2.0,1000,0.7529382109642029,0.06375524611624736,3.027784106878094,3.2079355487617334,1.1738305720684055,1.2,0,0.015,high_drive_icg
2,4.0,500,2.3574018478393555,0.07364896949537059,2.9095488165781247,10.043843014310783,1.3559889932409523,1.2,0,0.015,high_drive_icg
3,8.0,250,7.266120910644531,0.08022368192042356,2.76781140478682,30.95771635896663,1.477039399555962,1.2,0,0.015,high_drive_icg
4,16.0,125,21.641239166259766,0.09589481055554266,2.6276108783022845,92.20371529796097,1.7655685953680003,1.2,0,0.015,high_drive_icg
5,31.746031746031747,63,63.164730072021484,0.11435004804439856,2.5749764747689214,269.11688114021166,2.105357448817055,1.2,0,0.015,high_drive_icg
6,62.5,32,181.2738037109375,0.14367216699371954,2.4695273437017335,772.3272248846196,2.645222036552807,1.2,0,0.015,high_drive_icg
7,125.0,16,524.69873046875,0.1763021787480109,2.203839019987643,2235.5084193500697,3.2459899371942846,1.2,0,0.015,high_drive_icg
0,1.0,2000,0.23813772201538086,0.04990864201165987,3.1287538934587444,0.9999999999958007,0.9999999999799634,1.2,1,0.015,high_drive_icg
1,2.0,1000,0.7644037008285522,0.05576174013735857,3.023973977497224,3.2099227890320163,1.1172762449279625,1.2,1,0.015,high_drive_icg
2,4.0,500,2.395047426223755,0.06059395849683183,2.9167747124117045,10.057404622603242,1.214097520053972,1.2,1,0.015,high_drive_icg
3,8.0,250,7.393990993499756,0.06949441450579812,2.7857752057127043,31.049221983366174,1.3924324867058115,1.2,1,0.015,high_drive_icg
4,16.0,125,22.22106170654297,0.08157793943470798,2.6569394904220536,93.31180931097695,1.6345453641879266,1.2,1,0.015,high_drive_icg
5,31.746031746031747,63,64.96096801757812,0.0843955714702943,2.6091030588855535,272.7873915460971,1.6910011586547766,1.2,1,0.015,high_drive_icg
6,62.5,32,184.35086059570312,0.0946171732450265,2.6093158838132133,774.1354835964296,1.8958074078839056,1.2,1,0.015,high_drive_icg
7,125.0,16,513.619384765625,0.10150378433057478,2.711543088637587,2156.816569910308,2.0337917490287,1.2,1,0.015,high_drive_icg
0,1.0,2000,0.23471114039421082,0.054313840201597824,3.1235454029219327,0.9999999999957394,0.9999999999815885,1.4,0,0.015,high_drive_icg
1,2.0,1000,0.7529382109642029,0.06375524611624736,3.027784106878094,3.2079355487617334,1.1738305720684055,1.4,0,0.015,high_drive_icg
2,4.0,500,2.3574018478393555,0.07364896949537059,2.9095488165781247,10.043843014310783,1.3559889932409523,1.4,0,0.015,high_drive_icg
3,8.0,250,7.266120910644531,0.08022368192042356,2.76781140478682,30.95771635896663,1.477039399555962,1.4,0,0.015,high_drive_icg
4,16.0,125,21.641239166259766,0.09589481055554266,2.6276108783022845,92.20371529796097,1.7655685953680003,1.4,0,0.015,high_drive_icg
5,31.746031746031747,63,63.164730072021484,0.11435004804439856,2.5749764747689214,269.11688114021166,2.105357448817055,1.4,0,0.015,high_drive_icg
6,62.5,32,181.2738037109375,0.14367216699371954,2.4695273437017335,772.3272248846196,2.645222036552807,1.4,0,0.015,high_drive_icg
7,125.0,16,524.69873046875,0.1763021787480109,2.203839019987643,2235.5084193500697,3.2459899371942846,1.4,0,0.015,high_drive_icg
0,1.0,2000,0.23813772201538086,0.04990864201165987,3.1287538934587444,0.9999999999958007,0.9999999999799634,1.4,1,0.015,high_drive_icg
1,2.0,1000,0.7644037008285522,0.05576174013735857,3.023973977497224,3.2099227890320163,1.1172762449279625,1.4,1,0.015,high_drive_icg
2,4.0,500,2.395047426223755,0.06059395849683183,2.9167747124117045,10.057404622603242,1.214097520053972,1.4,1,0.015,high_drive_icg
3,8.0,250,7.393990993499756,0.06949441450579812,2.7857752057127043,31.049221983366174,1.3924324867058115,1.4,1,0.015,high_drive_icg
4,16.0,125,22.22106170654297,0.08157793943470798,2.6569394904220536,93.31180931097695,1.6345453641879266,1.4,1,0.015,high_drive_icg
5,31.746031746031747,63,64.96096801757812,0.0843955714702943,2.6091030588855535,272.7873915460971,1.6910011586547766,1.4,1,0.015,high_drive_icg
6,62.5,32,184.35086059570312,0.0946171732450265,2.6093158838132133,774.1354835964296,1.8958074078839056,1.4,1,0.015,high_drive_icg
7,125.0,16,513.619384765625,0.10150378433057478,2.711543088637587,2156.816569910308,2.0337917490287,1.4,1,0.015,high_drive_icg
0,1.0,2000,0.23471114039421082,0.054313840201597824,3.1235454029219327,0.9999999999957394,0.9999999999815885,1.6,0,0.015,high_drive_icg
1,2.0,1000,0.7529382109642029,0.06375524611624736,3.027784106878094,3.2079355487617334,1.1738305720684055,1.6,0,0.015,high_drive_icg
2,4.0,500,2.3574018478393555,0.07364896949537059,2.9095488165781247,10.043843014310783,1.3559889932409523,1.6,0,0.015,high_drive_icg
3,8.0,250,7.266120910644531,0.08022368192042356,2.76781140478682,30.95771635896663,1.477039399555962,1.6,0,0.015,high_drive_icg
4,16.0,125,21.641239166259766,0.09589481055554266,2.6276108783022845,92.20371529796097,1.7655685953680003,1.6,0,0.015,high_drive_icg
5,31.746031746031747,63,63.164730072021484,0.11435004804439856,2.5749764747689214,269.11688114021166,2.105357448817055,1.6,0,0.015,high_drive_icg
6,62.5,32,181.2738037109375,0.14367216699371954,2.4695273437017335,772.3272248846196,2.645222036552807,1.6,0,0.015,high_drive_icg
7,125.0,16,524.69873046875,0.1763021787480109,2.203839019987643,2235.5084193500697,3.2459899371942846,1.6,0,0.015,high_drive_icg
0,1.0,2000,0.23813772201538086,0.04990864201165987,3.1287538934587444,0.9999999999958007,0.9999999999799634,1.6,1,0.015,high_drive_icg
1,2.0,1000,0.7644037008285522,0.05576174013735857,3.023973977497224,3.2099227890320163,1.1172762449279625,1.6,1,0.015,high_drive_icg
2,4.0,500,2.395047426223755,0.06059395849683183,2.9167747124117045,10.057404622603242,1.214097520053972,1.6,1,0.015,high_drive_icg
3,8.0,250,7.393990993499756,0.06949441450579812,2.7857752057127043,31.049221983366174,1.3924324867058115,1.6,1,0.015,high_drive_icg
4,16.0,125,22.22106170654297,0.08157793943470798,2.6569394904220536,93.31180931097695,1.6345453641879266,1.6,1,0.015,high_drive_icg
5,31.746031746031747,63,64.96096801757812,0.0843955714702943,2.6091030588855535,272.7873915460971,1.6910011586547766,1.6,1,0.015,high_drive_icg
6,62.5,32,184.35086059570312,0.0946171732450265,2.6093158838132133,774.1354835964296,1.8958074078839056,1.6,1,0.015,high_drive_icg
7,125.0,16,513.619384765625,0.10150378433057478,2.711543088637587,2156.816569910308,2.0337917490287,1.6,1,0.015,high_drive_icg
